Name,Gender,"Rating Value","Rating Count","Main Accords",Perfumers,Description,url
"Sweet Coffee Anthologyfor women","for women",,,"['coffee', 'vanilla', 'white floral', 'warm spicy', 'citrus', 'sweet', 'powdery', 'soapy']",[],"Sweet CoffeebyAnthologyis a fragrance for women. This is a new fragrance.Sweet Coffeewas launched in 2023. Top note is Coffee; middle note is Orange Blossom; base note is Vanilla.",https://www.fragrantica.com/perfume/Anthology/Sweet-Coffee-88530.html
"MMIX - 2009 L'Eau De Cassisfor women and men","for women and men",,,"['woody', 'earthy', 'musky', 'aromatic', 'fresh spicy', 'mossy', 'warm spicy', 'soft spicy', 'powdery']",[],"MMIX - 2009byL'Eau De Cassisis a Woody Chypre fragrance for women and men.",https://www.fragrantica.com/perfume/L-Eau-De-Cassis/MMIX-2009-65339.html
"Patchouli Creme Esscentual Alchemyfor women and men","for women and men",5,3,"['floral', 'yellow floral', 'powdery', 'musky', 'fresh spicy', 'sweet', 'lavender', 'vanilla', 'amber']","['Amanda Feeley']","Patchouli CremebyEsscentual Alchemyis a Amber fragrance for women and men.Patchouli Cremewas launched during the 2010's. The nose behind this fragrance is Amanda Feeley.",https://www.fragrantica.com/perfume/Esscentual-Alchemy/Patchouli-Creme-26860.html
"Caupé Chamma da Amazôniafor women","for women",5,1,"['woody', 'floral', 'fresh', 'green', 'oily', 'powdery', 'warm spicy', 'herbal']","['Oscar Chamma']","CaupébyChamma da Amazôniais a Floral fragrance for women.Caupéwas launched in 2015. The nose behind this fragrance is Oscar Chamma.",https://www.fragrantica.com/perfume/Chamma-da-Amazonia/Caupe-61818.html
"Ved’Ma Sixteen92for women and men","for women and men",4.08,26,"['earthy', 'amber', 'smoky', 'balsamic', 'green', 'warm spicy']","['Claire Baxter']","Ved’MabySixteen92is a Woody Aromatic fragrance for women and men.Ved’Mawas launched in 2015. The nose behind this fragrance is Claire Baxter.",https://www.fragrantica.com/perfume/Sixteen92/Ved-Ma-58245.html
"Mystic Aromatic Muglerfor women and men","for women and men",4.01,231,"['aromatic', 'fresh spicy', 'herbal', 'balsamic', 'amber', 'green']","['Jean-Christophe Hérault']","Mystic AromaticbyMugleris a Aromatic fragrance for women and men.Mystic Aromaticwas launched in 2018. The nose behind this fragrance is Jean-Christophe Hérault.",https://www.fragrantica.com/perfume/Mugler/Mystic-Aromatic-49025.html
"Kogaï For Her Annayakefor women","for women",4.44,16,"['floral', 'powdery', 'woody', 'white floral', 'iris', 'vanilla', 'soft spicy', 'citrus', 'violet', 'earthy']",[],"Kogaï For HerbyAnnayakeis a fragrance for women. This is a new fragrance.Kogaï For Herwas launched in 2022. Top notes are Water Jasmine, Pink Pepper and Mandarin Orange; middle notes are Iris, Freesia and Peony; base notes are Vanilla, Sandalwood and Cedar.",https://www.fragrantica.com/perfume/Annayake/Kogai-For-Her-76117.html
"Dahlia Noir Givenchyfor women","for women",3.68,"2,625","['powdery', 'woody', 'iris', 'rose', 'earthy', 'vanilla', 'sweet', 'patchouli', 'warm spicy', 'floral']","['François Demachy']","Dahlia NoirbyGivenchyis a Chypre Floral fragrance for women.Dahlia Noirwas launched in 2011. The nose behind this fragrance is François Demachy. Top notes are Pink Pepper, Mimosa, Mandarin Orange and Bergamot; middle notes are Iris, Rose and Patchouli; base notes are Sandalwood, Tonka Bean, Vanille and Oakmoss.",https://www.fragrantica.com/perfume/Givenchy/Dahlia-Noir-12146.html
"Virginia Tech Women Masik Collegiate Fragrancesfor women","for women",,,"['citrus', 'white floral', 'woody', 'aromatic', 'amber', 'sweet', 'green', 'fresh', 'aquatic', 'marine']",[],"Virginia Tech WomenbyMasik Collegiate Fragrancesis a Floral Green fragrance for women. Top notes are Sea Notes, Orange, Lime and Apple; middle notes are Tamarind, Jasmine, Marigold, Lily-of-the-Valley and Violet Leaf; base notes are Palisander Rosewood, Woody Notes, Amber and White Musk.",https://www.fragrantica.com/perfume/Masik-Collegiate-Fragrances/Virginia-Tech-Women-21207.html
"White Flowers & Amber H&Mfor women","for women",3.5,4,"['white floral', 'amber', 'woody', 'powdery', 'animalic', 'warm spicy']",[],"White Flowers & AmberbyH&Mis a Floral fragrance for women.White Flowers & Amberwas launched in 2014.",https://www.fragrantica.com/perfume/H-M/White-Flowers-Amber-34599.html
